Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,n_clusters,error
FingerMovements,Local IFCM,Min Move,8,0.571428571,0.615808824,0.571428571,0.526018809,8,
FingerMovements,Local IFCM,Turn Vote,10,0.535714286,0.538344492,0.535714286,0.527613554,10,
FingerMovements,Local IFCM,Majority Vote,10,0.523809524,0.524705882,0.523809524,0.519450801,10,
FingerMovements,Local IFCM,Min Move,10,0.571428571,0.574117647,0.571428571,0.567505721,10,
FingerMovements,Local IFCM,Turn Vote,12,0.571428571,0.571590909,0.571428571,0.571185479,12,
FingerMovements,Local IFCM,Majority Vote,12,0.583333333,0.583760684,0.583333333,0.582801192,12,
FingerMovements,Local IFCM,Min Move,12,0.583333333,0.683063512,0.583333333,0.517637408,12,
FingerMovements,Local IFCM,Turn Vote,14,0.607142857,0.610204082,0.607142857,0.604395604,14,
FingerMovements,Local IFCM,Majority Vote,14,0.607142857,0.608683151,0.607142857,0.605745982,14,
FingerMovements,Local IFCM,Min Move,14,0.571428571,0.707236842,0.571428571,0.487457627,14,
FingerMovements,Local IFCM,Turn Vote,16,0.547619048,0.577205882,0.547619048,0.49968652,16,
FingerMovements,Local IFCM,Majority Vote,16,0.55952381,0.592186128,0.55952381,0.516715907,16,
FingerMovements,Local IFCM,Min Move,16,0.619047619,0.653958944,0.619047619,0.596153846,16,
FingerMovements,Local IFCM,Turn Vote,18,0.595238095,0.595238095,0.595238095,0.595238095,18,
FingerMovements,Local IFCM,Majority Vote,18,0.607142857,0.60720363,0.607142857,0.607087172,18,
FingerMovements,Local IFCM,Min Move,18,0.583333333,0.629060579,0.583333333,0.542839372,18,
FingerMovements,Local IFCM,Turn Vote,20,0.535714286,0.542711864,0.535714286,0.515885917,20,
FingerMovements,Local IFCM,Majority Vote,20,0.523809524,0.527851459,0.523809524,0.505882353,20,
FingerMovements,Local IFCM,Min Move,20,0.571428571,0.580357143,0.571428571,0.559183673,20,
FingerMovements,FCM,Turn Vote,2,0.511904762,0.512075906,0.511904762,0.51016925,2,
FingerMovements,FCM,Majority Vote,2,0.511904762,0.512075906,0.511904762,0.51016925,2,
FingerMovements,FCM,Min Move,2,0.5,0.5,0.5,0.498863636,2,
FingerMovements,FCM,Turn Vote,4,0.55952381,0.559557572,0.55952381,0.559461375,4,
FingerMovements,FCM,Majority Vote,4,0.55952381,0.559557572,0.55952381,0.559461375,4,
FingerMovements,FCM,Min Move,4,0.5,0.5,0.5,0.402033898,4,
FingerMovements,FCM,Turn Vote,6,0.523809524,0.523863636,0.523809524,0.523539421,6,
FingerMovements,FCM,Majority Vote,6,0.523809524,0.523863636,0.523809524,0.523539421,6,
FingerMovements,FCM,Min Move,6,0.5,0.5,0.5,0.463177115,6,
FingerMovements,FCM,Turn Vote,8,0.511904762,0.512781497,0.511904762,0.503388609,8,
FingerMovements,FCM,Majority Vote,8,0.511904762,0.512781497,0.511904762,0.503388609,8,
FingerMovements,FCM,Min Move,8,0.523809524,0.538602941,0.523809524,0.473354232,8,
FingerMovements,FCM,Turn Vote,10,0.55952381,0.563907486,0.55952381,0.5518385,10,
FingerMovements,FCM,Majority Vote,10,0.571428571,0.575721154,0.571428571,0.565267395,10,
FingerMovements,FCM,Min Move,10,0.511904762,0.517004049,0.511904762,0.472345641,10,
FingerMovements,FCM,Turn Vote,12,0.583333333,0.592163009,0.583333333,0.573108756,12,
FingerMovements,FCM,Majority Vote,12,0.583333333,0.592163009,0.583333333,0.573108756,12,
FingerMovements,FCM,Min Move,12,0.5,0.5,0.5,0.402033898,12,
FingerMovements,FCM,Turn Vote,14,0.55952381,0.559557572,0.55952381,0.559461375,14,
FingerMovements,FCM,Majority Vote,14,0.571428571,0.571428571,0.571428571,0.571428571,14,
FingerMovements,FCM,Min Move,14,0.535714286,0.560869565,0.535714286,0.482219061,14,
FingerMovements,FCM,Turn Vote,16,0.535714286,0.539498433,0.535714286,0.524321185,16,
FingerMovements,FCM,Majority Vote,16,0.523809524,0.525925926,0.523809524,0.513888889,16,
FingerMovements,FCM,Min Move,16,0.511904762,0.538961039,0.511904762,0.409363745,16,
FingerMovements,FCM,Turn Vote,18,0.547619048,0.547727273,0.547619048,0.54736245,18,
FingerMovements,FCM,Majority Vote,18,0.535714286,0.535734543,0.535714286,0.535648476,18,
FingerMovements,FCM,Min Move,18,0.523809524,0.538602941,0.523809524,0.473354232,18,
FingerMovements,FCM,Turn Vote,20,0.547619048,0.547727273,0.547619048,0.54736245,20,
FingerMovements,FCM,Majority Vote,20,0.547619048,0.547727273,0.547619048,0.54736245,20,
FingerMovements,FCM,Min Move,20,0.5,0.5,0.5,0.463177115,20,
FingerMovements,KNN,Majority Vote,0,0.523809524,0.525240385,0.523809524,0.516963772,3,
FingerMovements,KNN,Majority Vote,0,0.571428571,0.572916667,0.571428571,0.569230769,4,
FingerMovements,KNN,Majority Vote,0,0.523809524,0.525240385,0.523809524,0.516963772,5,
FingerMovements,KNN,Majority Vote,0,0.535714286,0.535734543,0.535714286,0.535648476,6,
