Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,n_clusters
NATOPS,Local DISSFCM,Turn Vote,60,0.5138888888888888,0.4701923076923077,0.5138888888888888,0.46629266521423385,6,0.01
NATOPS,Local DISSFCM,Majority Vote,59,0.5138888888888888,0.48496376811594205,0.5138888888888888,0.47549019607843135,6,0.01
NATOPS,Local DISSFCM,Min Move,49,0.6666666666666666,0.4908026755852843,0.6666666666666666,0.552063492063492,6,0.01
NATOPS,Local DISSFCM,Turn Vote,39,0.4583333333333333,0.49113347093223253,0.4583333333333333,0.4130675397708212,6,0.1
NATOPS,Local DISSFCM,Majority Vote,39,0.4027777777777778,0.4345238095238095,0.4027777777777778,0.3676406926406927,6,0.1
NATOPS,Local DISSFCM,Min Move,29,0.6805555555555556,0.6991153096416255,0.6805555555555556,0.6576225528391191,6,0.1
NATOPS,Local DISSFCM,Turn Vote,13,0.4027777777777778,0.22104170222449793,0.4027777777777778,0.27678393957463726,6,1
NATOPS,Local DISSFCM,Majority Vote,13,0.3333333333333333,0.1947603121516165,0.3333333333333333,0.22648332060096765,6,1
NATOPS,Local DISSFCM,Min Move,6,0.6111111111111112,0.6356282606282606,0.6111111111111112,0.619514519297128,6,1
NATOPS,Local DISSFCM,Turn Vote,6,0.3194444444444444,0.27253481102585964,0.3194444444444444,0.23071895424836603,6,10
NATOPS,Local DISSFCM,Majority Vote,6,0.3194444444444444,0.27253481102585964,0.3194444444444444,0.23071895424836603,6,10
NATOPS,Local DISSFCM,Min Move,6,0.6111111111111112,0.6177697693042962,0.6111111111111112,0.5840179477360886,6,10
NATOPS,Local DISSFCM,Turn Vote,12,0.4305555555555556,0.5771132376395534,0.4305555555555556,0.33718128528787716,12,0.01
NATOPS,Local DISSFCM,Majority Vote,12,0.4305555555555556,0.5771132376395534,0.4305555555555556,0.33718128528787716,12,0.01
NATOPS,Local DISSFCM,Min Move,20,0.6666666666666666,0.6578144078144078,0.6666666666666666,0.6171428571428572,12,0.01
NATOPS,Local DISSFCM,Turn Vote,32,0.4444444444444444,0.4134904950122341,0.4444444444444444,0.4153921360443099,12,0.1
NATOPS,Local DISSFCM,Majority Vote,12,0.4027777777777778,0.24627224627224628,0.4027777777777778,0.286634460547504,12,0.1
