Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,n_clusters
RacketSports,Local IFCM,Min Move,36,0.5409836065573771,0.7032786885245902,0.5409836065573771,0.5267720717591295,36
RacketSports,FCM,Turn Vote,32,0.4426229508196721,0.41707800396324984,0.4426229508196721,0.41553684034083177,32
RacketSports,FCM,Majority Vote,32,0.5573770491803278,0.5747462919594066,0.5573770491803278,0.5533449966521954,32
RacketSports,FCM,Min Move,28,0.5081967213114754,0.5105191256830601,0.5081967213114754,0.502060909546554,28
RacketSports,KNN,Majority Vote,0,0.8032786885245902,0.812421185372005,0.8032786885245902,0.8023097215578845,8
RacketSports,Local DISSFCM,Turn Vote,38,0.47540983606557374,0.46790336496980156,0.47540983606557374,0.46515561382034154,4,0.01
RacketSports,Local DISSFCM,Majority Vote,38,0.39344262295081966,0.45593497339755357,0.39344262295081966,0.4154648456048101,4,0.01
RacketSports,Local DISSFCM,Min Move,4,0.4098360655737705,0.4381044667153381,0.4098360655737705,0.374551819011966,4,10
RacketSports,Local IFCM,Turn Vote,32,0.5081967213114754,0.5048790007806402,0.5081967213114754,0.5037769206043073,32
RacketSports,Local IFCM,Majority Vote,32,0.5737704918032787,0.5837236533957846,0.5737704918032787,0.5740784226849801,32
RacketSports,Local IFCM,Min Move,4,0.4426229508196721,0.549091307503732,0.4426229508196721,0.44101192856190863,4
RacketSports,FCM,Turn Vote,32,0.47540983606557374,0.48805620608899297,0.47540983606557374,0.44166786726604906,40
RacketSports,FCM,Majority Vote,32,0.5245901639344263,0.44485842026825634,0.5245901639344263,0.4622889868791508,40
RacketSports,FCM,Min Move,28,0.5573770491803278,0.5482695810564663,0.5573770491803278,0.5453399059956436,28
RacketSports,KNN,Majority Vote,0,0.7868852459016393,0.7846848426404839,0.7868852459016393,0.7777447909096439,11
RacketSports,Local DISSFCM,Turn Vote,53,0.6065573770491803,0.678246950378098,0.6065573770491803,0.5761732949274383,12,1
RacketSports,Local DISSFCM,Majority Vote,53,0.5409836065573771,0.5619307832422586,0.5409836065573771,0.51429306754875,12,1
RacketSports,Local DISSFCM,Min Move,25,0.5081967213114754,0.5120588356136242,0.5081967213114754,0.48522808267997153,8,0.1
RacketSports,Local IFCM,Turn Vote,28,0.5409836065573771,0.5860265417642467,0.5409836065573771,0.5319743406985032,28
RacketSports,Local IFCM,Majority Vote,28,0.5245901639344263,0.610616705698673,0.5245901639344263,0.51312142101195,28
RacketSports,Local IFCM,Min Move,24,0.4098360655737705,0.49038148585915686,0.4098360655737705,0.38998315460783106,24
RacketSports,FCM,Turn Vote,40,0.36065573770491804,0.3830601092896175,0.36065573770491804,0.3539082917557615,32
RacketSports,FCM,Majority Vote,40,0.5081967213114754,0.599063231850117,0.5081967213114754,0.50674960582302,32
RacketSports,FCM,Min Move,24,0.47540983606557374,0.4812060889929742,0.47540983606557374,0.47453625015991374,24
RacketSports,KNN,Majority Vote,0,0.8032786885245902,0.8058618976651764,0.8032786885245902,0.7967003747670791,3
RacketSports,Local DISSFCM,Turn Vote,48,0.5573770491803278,0.6015253029223093,0.5573770491803278,0.5007427279214216,4,0.1
RacketSports,Local DISSFCM,Majority Vote,48,0.639344262295082,0.6805707346690952,0.639344262295082,0.6102185516086791,4,0.1
RacketSports,Local DISSFCM,Min Move,5,0.5409836065573771,0.41830601092896175,0.5409836065573771,0.4593165022320591,4,0.01
RacketSports,Local IFCM,Turn Vote,40,0.6065573770491803,0.5976460697772172,0.6065573770491803,0.5978571616712357,40
RacketSports,Local IFCM,Majority Vote,40,0.5737704918032787,0.5960837887067396,0.5737704918032787,0.5840551448266009,40
RacketSports,Local IFCM,Min Move,28,0.4098360655737705,0.3862867551392142,0.4098360655737705,0.38004276550249466,28
RacketSports,FCM,Turn Vote,36,0.5573770491803278,0.6721311475409836,0.5573770491803278,0.5215918895599655,36
RacketSports,FCM,Majority Vote,36,0.6065573770491803,0.6143655979721554,0.6065573770491803,0.5879753180553791,36
RacketSports,FCM,Min Move,36,0.45901639344262296,0.4756620428751577,0.45901639344262296,0.43177531165392286,36
