Algorithm,n_clusters,error,Classifier,Centroids,Accuracy,Precision,Recall,F1
KNN,5,0.0,Majority Vote,0.0,0.5227272728181819,0.5230111846363636,0.5227272728181819,0.5213080788181818
KNN,6,0.0,Majority Vote,0.0,0.5281385281818182,0.5308862787272727,0.5281385281818182,0.5188294134545455
KNN,7,0.0,Majority Vote,0.0,0.5064935066363637,0.5065601238181818,0.5064935066363637,0.5047958217272727
KNN,8,0.0,Majority Vote,0.0,0.5194805194545454,0.520693585,0.5194805194545454,0.5120635695454546
KNN,9,0.0,Majority Vote,0.0,0.5173160174545455,0.517479864,0.5173160174545455,0.5159427556363636
KNN,10,0.0,Majority Vote,0.0,0.5281385281818182,0.5295106864545455,0.5281385281818182,0.5226028157272727
KNN,11,0.0,Majority Vote,0.0,0.5151515153636365,0.5153835715454546,0.5151515153636365,0.513449088
KNN,12,0.0,Majority Vote,0.0,0.5238095238181818,0.524861947,0.5238095238181818,0.5192718214545454
KNN,13,0.0,Majority Vote,0.0,0.5183982686363636,0.51863549,0.5183982686363636,0.5172447782727273
KNN,14,0.0,Majority Vote,0.0,0.5303030303636364,0.5310969335454545,0.5303030303636364,0.5260820957272727
KNN,15,0.0,Majority Vote,0.0,0.5292207792727273,0.5294239346363636,0.5292207792727273,0.5282274279090909
Local DISSFCM,2,0.01,Majority Vote,16.636363636363637,0.5443722941818182,0.563907844909091,0.5443722941818182,0.5132566392727272
Local DISSFCM,2,0.01,Min Move,9.545454545454545,0.5616883119090909,0.6037045758181818,0.5616883119090909,0.5269679101818182
Local DISSFCM,2,0.01,Turn Vote,14.545454545454545,0.5443722943636363,0.5624456813636364,0.5443722943636363,0.5155540649090908
Local DISSFCM,2,0.1,Majority Vote,20.363636363636363,0.5346320348181819,0.5404625834545455,0.5346320348181819,0.521887941
Local DISSFCM,2,0.1,Min Move,7.636363636363637,0.5627705628181818,0.5818812967272727,0.5627705628181818,0.5364480804545454
Local DISSFCM,2,0.1,Turn Vote,19.181818181818183,0.5389610390909091,0.5444517142727272,0.5389610390909091,0.5230925648181818
Local DISSFCM,2,1.0,Majority Vote,15.636363636363637,0.5422077923636364,0.5511274136363636,0.5422077923636364,0.5241423899090909
Local DISSFCM,2,1.0,Min Move,7.636363636363637,0.5616883118181818,0.5855984065454546,0.5616883118181818,0.5289951406363635
Local DISSFCM,2,1.0,Turn Vote,16.636363636363637,0.5443722945454545,0.5541320084545455,0.5443722945454545,0.5246165060909092
Local DISSFCM,2,10.0,Majority Vote,19.454545454545453,0.5259740260909092,0.5282061021818182,0.5259740260909092,0.5124336125454545
Local DISSFCM,2,10.0,Min Move,8.636363636363637,0.5530303030909092,0.5995497125454545,0.5530303030909092,0.5075265279090909
Local DISSFCM,2,10.0,Turn Vote,18.818181818181817,0.5259740260909092,0.5318656578181818,0.5259740260909092,0.5057632000000001
Local DISSFCM,4,0.01,Majority Vote,21.272727272727273,0.566017316,0.5872195226363637,0.566017316,0.5469861378181818
Local DISSFCM,4,0.01,Min Move,11.454545454545455,0.5627705628181818,0.5801796956363636,0.5627705628181818,0.5450040151818182
Local DISSFCM,4,0.01,Turn Vote,21.636363636363637,0.5638528138181819,0.5845470220909091,0.5638528138181819,0.5452867623636363
Local DISSFCM,4,0.1,Majority Vote,23.545454545454547,0.5638528138181819,0.5729977876363637,0.5638528138181819,0.5470972766363636
Local DISSFCM,4,0.1,Min Move,9.818181818181818,0.5735930736363636,0.5879570186363636,0.5735930736363636,0.5576707916363636
Local DISSFCM,4,0.1,Turn Vote,23.727272727272727,0.564935064909091,0.5739035207272727,0.564935064909091,0.5500503440909091
