Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,n_clusters
NATOPS,Local IFCM,Majority Vote,42,0.3055555555555556,0.2767316017316017,0.3055555555555556,0.2793273447062652,42
NATOPS,Local IFCM,Min Move,60,0.6527777777777778,0.6456140350877193,0.6527777777777778,0.6151565464895636,60
NATOPS,FCM,Turn Vote,24,0.3333333333333333,0.38904151404151405,0.3333333333333333,0.2876483896220738,54
NATOPS,FCM,Majority Vote,24,0.3888888888888889,0.3765151515151515,0.3888888888888889,0.35237381989832967,54
NATOPS,FCM,Min Move,36,0.4722222222222222,0.5311447811447811,0.4722222222222222,0.4239138935643625,36
NATOPS,KNN,Majority Vote,0,0.5,0.5233211233211233,0.5,0.5040155945419103,15
NATOPS,Local DISSFCM,Turn Vote,39,0.5,0.5035002035002034,0.5,0.4886650970861497,6,0.01
NATOPS,Local DISSFCM,Majority Vote,39,0.5555555555555556,0.5493691493691494,0.5555555555555556,0.5421331105541632,6,0.01
NATOPS,Local DISSFCM,Min Move,20,0.7083333333333334,0.7122766122766122,0.7083333333333334,0.7060593512767427,12,1
NATOPS,Local IFCM,Turn Vote,60,0.5416666666666666,0.5360334110334111,0.5416666666666666,0.5376174791392183,60
NATOPS,Local IFCM,Majority Vote,60,0.5972222222222222,0.5922827172827173,0.5972222222222222,0.593428093645485,60
NATOPS,Local IFCM,Min Move,36,0.7361111111111112,0.7488095238095239,0.7361111111111112,0.7209390407120586,36
NATOPS,FCM,Turn Vote,30,0.375,0.4335989202368513,0.375,0.36671605465348844,60
NATOPS,FCM,Majority Vote,30,0.3611111111111111,0.45319865319865316,0.3611111111111111,0.37721274627318513,60
NATOPS,FCM,Min Move,48,0.4583333333333333,0.4017857142857143,0.4583333333333333,0.41550116550116556,48
NATOPS,KNN,Majority Vote,0,0.625,0.6263690013690013,0.625,0.6120881006864989,4
NATOPS,Local DISSFCM,Turn Vote,44,0.4166666666666667,0.4724174518292166,0.4166666666666667,0.4141669258610787,18,0.1
NATOPS,Local DISSFCM,Majority Vote,44,0.4166666666666667,0.4860136452241715,0.4166666666666667,0.42325967043708984,18,0.1
NATOPS,Local DISSFCM,Min Move,48,0.6944444444444444,0.7127008698216128,0.6944444444444444,0.6810785326069281,6,0.01
NATOPS,Local IFCM,Turn Vote,36,0.3888888888888889,0.43052503052503055,0.3888888888888889,0.38538637579788254,36
NATOPS,Local IFCM,Majority Vote,36,0.3611111111111111,0.3726551226551227,0.3611111111111111,0.357941676934812,36
NATOPS,Local IFCM,Min Move,30,0.6111111111111112,0.5970788470788471,0.6111111111111112,0.5937905250948728,30
NATOPS,FCM,Turn Vote,48,0.4166666666666667,0.6433006535947712,0.4166666666666667,0.4180602921982232,48
NATOPS,FCM,Majority Vote,48,0.3611111111111111,0.6012077294685989,0.3611111111111111,0.3561647502823973,48
NATOPS,FCM,Min Move,54,0.5277777777777778,0.5425407925407925,0.5277777777777778,0.46160477921145576,54
NATOPS,KNN,Majority Vote,0,0.625,0.6443304244774833,0.625,0.6200692343886537,9
NATOPS,Local DISSFCM,Turn Vote,26,0.4583333333333333,0.46296296296296297,0.4583333333333333,0.4389099326599326,18,1
NATOPS,Local DISSFCM,Majority Vote,26,0.4166666666666667,0.49251443001443,0.4166666666666667,0.3897775484462791,18,1
NATOPS,Local DISSFCM,Min Move,13,0.6666666666666666,0.6730080921257392,0.6666666666666666,0.6492152315655039,12,10
NATOPS,Local IFCM,Turn Vote,54,0.4444444444444444,0.4508297258297258,0.4444444444444444,0.43630527240367056,54
NATOPS,Local IFCM,Majority Vote,54,0.4722222222222222,0.48442493179335283,0.4722222222222222,0.4695033825372646,54
NATOPS,Local IFCM,Min Move,54,0.6944444444444444,0.7077158135981666,0.6944444444444444,0.6898731654906198,54
NATOPS,FCM,Turn Vote,12,0.2777777777777778,0.24645270270270273,0.2777777777777778,0.23014433045945654,24
NATOPS,FCM,Majority Vote,12,0.2777777777777778,0.3633606931144551,0.2777777777777778,0.2474126954857178,24
NATOPS,FCM,Min Move,18,0.5138888888888888,0.3672161172161172,0.5138888888888888,0.42277903469079936,18
NATOPS,KNN,Majority Vote,0,0.5833333333333334,0.5729368670545142,0.5833333333333334,0.5706725584576133,8
