Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,n_clusters
RacketSports,Local DISSFCM,Turn Vote,45,0.5901639344262295,0.6924158757549612,0.5901639344262295,0.5403794037940379,8,1
RacketSports,Local DISSFCM,Majority Vote,45,0.5737704918032787,0.4576383939177952,0.5737704918032787,0.5070059862880666,8,1
RacketSports,Local DISSFCM,Min Move,17,0.5737704918032787,0.6315336184366833,0.5737704918032787,0.5812421185372005,8,1
RacketSports,Local DISSFCM,Turn Vote,8,0.4098360655737705,0.5603825136612022,0.4098360655737705,0.35298962540587636,8,10
RacketSports,Local DISSFCM,Majority Vote,25,0.4262295081967213,0.5191256830601093,0.4262295081967213,0.3514946962391514,8,10
RacketSports,Local DISSFCM,Min Move,25,0.5081967213114754,0.46189304405087855,0.5081967213114754,0.4324590163934427,8,10
RacketSports,Local DISSFCM,Turn Vote,53,0.5573770491803278,0.5953120506183491,0.5573770491803278,0.5492339012107574,12,0.01
RacketSports,Local DISSFCM,Majority Vote,53,0.5737704918032787,0.6387167620989881,0.5737704918032787,0.5510018214936249,12,0.01
RacketSports,Local DISSFCM,Min Move,48,0.5901639344262295,0.6495839823949757,0.5901639344262295,0.5951208742092389,12,0.01
RacketSports,Local DISSFCM,Turn Vote,40,0.5245901639344263,0.5780403088427247,0.5245901639344263,0.4764144173980239,12,0.1
RacketSports,Local DISSFCM,Majority Vote,37,0.45901639344262296,0.598439851112695,0.45901639344262296,0.3987168738023276,12,0.1
RacketSports,Local DISSFCM,Min Move,13,0.6065573770491803,0.5943043295502312,0.6065573770491803,0.5920457750338374,12,0.1
RacketSports,Local DISSFCM,Turn Vote,55,0.5901639344262295,0.6801176965111392,0.5901639344262295,0.6072288367370334,12,1
RacketSports,Local DISSFCM,Majority Vote,56,0.5901639344262295,0.6884672704344835,0.5901639344262295,0.6020296643247464,12,1
RacketSports,Local DISSFCM,Min Move,37,0.5737704918032787,0.6301539990064581,0.5737704918032787,0.5515666637828299,12,1
RacketSports,Local DISSFCM,Turn Vote,28,0.4426229508196721,0.3837626854020296,0.4426229508196721,0.38781742205078756,12,10
RacketSports,Local DISSFCM,Majority Vote,28,0.47540983606557374,0.6684881602914391,0.47540983606557374,0.44043715846994536,12,10
RacketSports,Local DISSFCM,Min Move,23,0.5245901639344263,0.5926619828259172,0.5245901639344263,0.5153273233961104,12,10
RacketSports,Local IFCM,Turn Vote,4,0.5245901639344263,0.6041145118307357,0.5245901639344263,0.498279039699128,4
RacketSports,Local IFCM,Majority Vote,4,0.5245901639344263,0.6041145118307357,0.5245901639344263,0.498279039699128,4
RacketSports,Local IFCM,Min Move,4,0.6721311475409836,0.6774555135210873,0.6721311475409836,0.6692622950819672,4
RacketSports,Local IFCM,Turn Vote,8,0.5901639344262295,0.6317895219534564,0.5901639344262295,0.5939936037873637,8
RacketSports,Local IFCM,Majority Vote,8,0.5737704918032787,0.6225655037130448,0.5737704918032787,0.5739294071737838,8
