Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
FCM,20,0.0,Turn Vote,20.0,0.506993006993007,0.5069711886887951,0.506993006993007,0.4974654169102763
KNN,3,0.0,Majority Vote,0.0,0.534965034965035,0.5353031879586286,0.534965034965035,0.532644375755676
KNN,4,0.0,Majority Vote,0.0,0.5506993006993007,0.5546967294927319,0.5506993006993007,0.5426552581802837
KNN,5,0.0,Majority Vote,0.0,0.5192307692307693,0.5196150777057228,0.5192307692307693,0.5160976716995335
KNN,6,0.0,Majority Vote,0.0,0.5367132867132868,0.5383596619990638,0.5367132867132868,0.5313112949916597
KNN,7,0.0,Majority Vote,0.0,0.5192307692307693,0.519119957555906,0.5192307692307693,0.5161187576072191
KNN,8,0.0,Majority Vote,0.0,0.5279720279720279,0.5291734532867629,0.5279720279720279,0.5233813223451717
KNN,9,0.0,Majority Vote,0.0,0.5201048951048951,0.5197084605966856,0.5201048951048951,0.5174796133702189
KNN,10,0.0,Majority Vote,0.0,0.5236013986013986,0.5241069217004249,0.5236013986013986,0.5200678809311297
KNN,11,0.0,Majority Vote,0.0,0.5201048951048951,0.5201465296938947,0.5201048951048951,0.5176294191900097
KNN,12,0.0,Majority Vote,0.0,0.5209790209790209,0.5212739737325439,0.5209790209790209,0.5179454949082438
KNN,13,0.0,Majority Vote,0.0,0.5270979020979021,0.5268331230090545,0.5270979020979021,0.5247161422527339
KNN,14,0.0,Majority Vote,0.0,0.5174825174825175,0.517585900017918,0.5174825174825175,0.5143471451478528
KNN,15,0.0,Majority Vote,0.0,0.5323426573426574,0.5324714758753812,0.5323426573426574,0.52981270242593
Local DISSFCM,2,0.01,Majority Vote,26.0,0.5856643356643356,0.5965179306775703,0.5856643356643356,0.5758455685318897
Local DISSFCM,2,0.01,Min Move,14.818181818181818,0.5716783216783217,0.5843252909915407,0.5716783216783217,0.5568336911554398
Local DISSFCM,2,0.01,Turn Vote,26.0,0.5856643356643356,0.5965179306775703,0.5856643356643356,0.5758455685318897
Local DISSFCM,2,0.1,Majority Vote,19.272727272727273,0.5909090909090909,0.5984933961017117,0.5909090909090909,0.582963225444966
Local DISSFCM,2,0.1,Min Move,16.818181818181817,0.5638111888111887,0.5784962500292179,0.5638111888111887,0.5389917449838277
Local DISSFCM,2,0.1,Turn Vote,19.272727272727273,0.5909090909090909,0.5984933961017117,0.5909090909090909,0.582963225444966
Local DISSFCM,2,1.0,Majority Vote,13.363636363636363,0.5821678321678322,0.5899627924211845,0.5821678321678322,0.5727263567677837
Local DISSFCM,2,1.0,Min Move,21.272727272727273,0.5646853146853147,0.5993003712610101,0.5646853146853147,0.5348533384847974
Local DISSFCM,2,1.0,Turn Vote,13.363636363636363,0.5821678321678322,0.5899627924211845,0.5821678321678322,0.5727263567677837
Local DISSFCM,2,10.0,Majority Vote,12.545454545454545,0.583041958041958,0.5892830855279954,0.583041958041958,0.5752410156851979
Local DISSFCM,2,10.0,Min Move,11.818181818181818,0.5681818181818182,0.5736432668546351,0.5681818181818182,0.5596983390167909
Local DISSFCM,2,10.0,Turn Vote,12.545454545454545,0.583041958041958,0.5892830855279954,0.583041958041958,0.5752410156851979
Local DISSFCM,4,0.01,Majority Vote,25.09090909090909,0.583041958041958,0.5946652424825529,0.583041958041958,0.5700425849620081
Local DISSFCM,4,0.01,Min Move,17.545454545454547,0.5673076923076923,0.5854579776424269,0.5673076923076923,0.5482881485811438
Local DISSFCM,4,0.01,Turn Vote,25.09090909090909,0.583041958041958,0.5946652424825529,0.583041958041958,0.5700425849620081
